Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
1,19,0,1,Bangladesh,5.2,0,Yes,6.5,6,1,3,8
2,22,1,2,India,2.1,1,No,7.5,8,0,0,3
3,20,0,1,USA,6,2,Yes,5,5,2,4,9
4,18,1,0,UK,3,3,No,7,7,0,1,4
5,21,1,2,Canada,4.5,4,Yes,6,6,1,2,7
6,19,0,1,Australia,7.2,0,Yes,4.5,4,2,5,9
7,23,1,2,Germany,1.5,6,No,8,9,0,0,2
8,20,0,1,Brazil,5.8,5,Yes,6,6,1,2,8
9,18,1,0,Japan,4,2,No,6.5,7,0,1,5
10,21,0,2,South Korea,3.3,0,No,7,7,1,1,4
11,19,1,1,France,4.8,5,Yes,6.2,5,2,3,7
12,20,0,1,Spain,5.5,2,Yes,5.8,6,1,2,8
13,22,1,2,Italy,2.8,6,No,7.2,8,0,1,4
14,18,0,0,Mexico,6.5,0,Yes,5.5,5,0,4,9
15,21,1,1,Russia,3.7,3,No,6.8,7,1,2,5
16,20,0,1,China,4.2,2,Yes,6,6,2,3,7
17,24,1,2,Sweden,2,6,No,7.8,8,0,0,3
18,19,0,0,Norway,5,0,Yes,5.7,5,1,3,8
19,21,1,1,Denmark,3.5,4,No,6.7,7,0,1,5
20,20,0,1,Netherlands,4.7,5,Yes,5.9,6,2,3,7
21,18,1,0,Belgium,5.3,2,Yes,5.5,5,0,4,8
22,23,0,2,Switzerland,2.5,6,No,7.3,8,1,1,4
23,19,1,1,Austria,4.9,0,Yes,5.8,6,2,3,7
24,20,0,1,Portugal,5.7,2,Yes,5.4,5,0,4,8
25,22,1,2,Greece,3.2,4,No,6.9,7,1,2,5
26,19,0,0,Ireland,6.1,0,Yes,5.2,5,2,4,9
27,21,1,1,New Zealand,3.8,3,No,6.6,7,0,1,5
28,20,0,1,Singapore,4.4,2,Yes,5.9,6,1,3,7
29,24,1,2,Malaysia,2.2,6,No,7.4,8,0,0,3
30,19,0,0,Thailand,5.9,0,Yes,5.3,5,2,4,8
31,21,1,1,Vietnam,3.6,4,No,6.7,7,0,1,5
32,20,0,1,Philippines,4.8,5,Yes,5.7,6,1,3,7
33,18,1,0,Indonesia,5.4,2,Yes,5.4,5,2,4,8
34,23,0,2,Taiwan,2.6,6,No,7.2,8,0,1,4
35,19,1,1,Hong Kong,4.7,0,Yes,5.8,6,1,3,7
36,20,0,1,Turkey,5.6,2,Yes,5.5,5,2,4,8
37,22,1,2,Israel,3.1,4,No,6.8,7,0,1,5
38,19,0,0,UAE,6.2,0,Yes,5.1,5,1,4,9
